id,date,time_of_day,type,distance_mi,average_pace_m_s,duration_min,altitude_gains_m,average_heart_rate_bpm,start_location,kudos,temperature_c,humidity_pct,air_pressure_hpa
10634057895,1/26/24,10:37:34,Run,11.3509,2.668 meter / second,70.9,78.7,165.2,"(37.55496645346284, -77.46717670932412)",3,,,
10622971781,1/24/24,15:33:34,Run,7.2594,3.289 meter / second,36.78,29.5,,"(37.55500174127519, -77.46722649782896)",3,,,
10610068348,1/22/24,17:05:13,Run,3.7015,2.938 meter / second,21,0,,,1,,,
10572925970,1/16/24,18:16:17,Run,3.2187,2.753 meter / second,19.48,0,,,0,,,
10566297486,1/15/24,17:58:13,Run,3.2187,2.823 meter / second,19,0,,,0,,,
10540604927,1/11/24,17:54:22,Run,5.2016,2.966 meter / second,29.23,10.6,172.5,"(37.555249677971005, -77.46725801378489)",1,,,
10514121398,1/7/24,13:52:04,Run,5.5183,3.034 meter / second,30.32,21.8,170.2,"(37.55522285588086, -77.46846986934543)",2,,,
10475004642,1/1/24,10:56:37,Run,16.2084,2.516 meter / second,107.37,122.2,156.5,"(37.54912493750453, -77.45544916950166)",2,,,
10464494621,12/30/23,16:13:59,Run,3.5675,2.825 meter / second,21.05,15.7,165.5,"(37.555064018815756, -77.46708576567471)",0,,,
10464411830,12/29/23,11:52:38,Walk,3.7083,1.232 meter / second,50.15,20.9,100.1,"(42.38607466220856, -71.18226578459144)",0,,,
10441502191,12/26/23,15:33:29,Run,5.5433,2.776 meter / second,33.28,37.8,167.9,"(42.38538717851043, -71.1809553578496)",0,,,
10431694095,12/24/23,12:53:20,Walk,4.6904,1.284 meter / second,60.9,32.2,,"(42.387825306504965, -71.18179011158645)",0,,,
10416460463,12/21/23,15:14:35,Run,5.299,2.704 meter / second,32.67,27.5,166.5,"(37.55518035963178, -77.46734661050141)",0,,,
10406762056,12/19/23,15:19:18,Run,8.1458,2.56 meter / second,53.03,54.1,155.7,"(37.55517315119505, -77.46726455166936)",0,,,
10406387918,12/18/23,18:02:00,Run,3.2187,2.555 meter / second,21,0,,,0,,,
10385434310,12/15/23,14:04:57,Run,5.1403,2.75 meter / second,31.15,22.9,160.1,"(37.55513275042176, -77.46748776175082)",0,,,
10365536000,12/11/23,16:27:49,Run,4.1701,2.717 meter / second,25.58,23,162.6,"(37.55521967075765, -77.46711350977421)",0,,,
10354472133,12/9/23,12:02:17,Run,12.9753,2.474 meter / second,87.42,74.5,159.9,"(37.55507139489055, -77.46687462553382)",strava,,,
10349132187,12/8/23,12:24:45,Run,4.0655,2.773 meter / second,24.43,7.3,165.9,"(37.556354915723205, -77.47078847140074)",0,,,
10329462605,12/4/23,18:05:55,Run,3.5778,1.973 meter / second,30.22,0,154.8,,0,,,
10303511996,11/29/23,17:37:13,Run,3.5406,2.682 meter / second,22,0,,,0,,,
10275460168,11/24/23,15:27:11,Run,4.9584,2.506 meter / second,32.98,40.2,158.3,"(42.385504860430956, -71.18108351714909)",0,,,
10253229532,11/20/23,15:07:32,Run,4.3508,2.694 meter / second,26.92,22.8,160.8,"(42.38640314899385, -71.18123766034842)",0,,,
10213802947,11/13/23,17:20:59,Run,5.0893,2.472 meter / second,34.32,15.6,157.3,"(37.5552050024271, -77.46766369789839)",0,,,
10201490341,11/11/23,13:21:29,Run,5.7337,2.556 meter / second,37.38,27.1,160.3,"(37.55524406209588, -77.46748013421893)",0,,,
